M_sigma	S	Q_alpha	motif_exon_summary	motif_exon
0	0	Inf	0	0.049999999999999926
0	0.05	Inf	0	0.04999999999999993
0	0.1	Inf	0	0.04999999999999993
0	0.2	Inf	0	0.04999999999999995
0	0.4	Inf	0	0.04999999999999996
0	0.8	Inf	0	0.04999999999999999
0.01	0	Inf	0	0.048617246101459205
0.01	0.05	Inf	0	0.048580476287062545
0.01	0.1	Inf	0	0.04918551711108518
0.01	0.2	Inf	0	0.04937334248753483
0.01	0.4	Inf	0	0.049455527673967686
0.01	0.8	Inf	0	0.04987941471947843
0.02	0	Inf	0	0.04816380781198264
0.02	0.05	Inf	0	0.04848541680264488
0.02	0.1	Inf	0	0.04795290137070034
0.02	0.2	Inf	0	0.049159406799325504
0.02	0.4	Inf	0	0.048565025598819214
0.02	0.8	Inf	0	0.049524216972746386
0.03	0	Inf	0	0.0462126211339403
0.03	0.05	Inf	0	0.046876394007381965
0.03	0.1	Inf	0	0.04685559003558243
0.03	0.2	Inf	0	0.047819668897539934
0.03	0.4	Inf	0	0.04836638155817827
0.03	0.8	Inf	0	0.04953038757202981
0.04	0	Inf	0	0.047031620249691694
0.04	0.05	Inf	0	0.04629578907525824
0.04	0.1	Inf	0	0.04767000849740602
0.04	0.2	Inf	0	0.04750391339175822
0.04	0.4	Inf	0	0.04841364087972069
0.04	0.8	Inf	0	0.04932686492322429
0.05	0	Inf	0	0.04357845596697007
0.05	0.05	Inf	0	0.04323498712000996
0.05	0.1	Inf	0	0.045648163078057344
0.05	0.2	Inf	0	0.04752242746337924
0.05	0.4	Inf	0	0.048063879822779
0.05	0.8	Inf	0	0.04922091800371349
0.06	0	Inf	0	0.04399028767977026
0.06	0.05	Inf	0	0.04401684340444603
0.06	0.1	Inf	0	0.045511110572316785
0.06	0.2	Inf	0	0.046127031265287076
0.06	0.4	Inf	0	0.04739823724195115
0.06	0.8	Inf	0	0.049196684954232926
0.07	0	Inf	0	0.042843402741743225
0.07	0.05	Inf	0	0.04390012981006314
0.07	0.1	Inf	0	0.04266026850922294
0.07	0.2	Inf	0	0.043509876341855096
0.07	0.4	Inf	0	0.0474514945492846
0.07	0.8	Inf	0	0.04896326831078237
0.08	0	Inf	0	0.04352786629192463
0.08	0.05	Inf	0	0.04118838609449229
0.08	0.1	Inf	0	0.04202789576277784
0.08	0.2	Inf	0	0.044924855513099944
0.08	0.4	Inf	0	0.04492236914703413
0.08	0.8	Inf	0	0.04827544062385999
0.09	0	Inf	0	0.04032625940473774
0.09	0.05	Inf	0	0.04265418656296763
0.09	0.1	Inf	0	0.043563900672521916
0.09	0.2	Inf	0	0.043184498952405316
0.09	0.4	Inf	0	0.04495569989933086
0.09	0.8	Inf	0	0.04856658761726262
0.1	0	Inf	0	0.04065538493571151
0.1	0.05	Inf	0	0.04280308045735898
0.1	0.1	Inf	0	0.04201131507538476
0.1	0.2	Inf	0	0.04471439224006156
0.1	0.4	Inf	0	0.04449509086952004
0.1	0.8	Inf	0	0.04807681381438571
0.11	0	Inf	0	0.03974890383540428
0.11	0.05	Inf	0	0.040515740664014664
0.11	0.1	Inf	0	0.040596881861638984
0.11	0.2	Inf	0	0.04096474586903035
0.11	0.4	Inf	0	0.04443594878641646
0.11	0.8	Inf	0	0.04873707361122254
0.12	0	Inf	0	0.040446330698429914
0.12	0.05	Inf	0	0.04012559289137707
0.12	0.1	Inf	0	0.04324472784221299
0.12	0.2	Inf	0	0.041694588363751936
0.12	0.4	Inf	0	0.04218468840333714
0.12	0.8	Inf	0	0.047809236256428043
0.13	0	Inf	0	0.03856864731533785
