M_sigma	S	Q_alpha	motif_intron_summary	motif_intron
0	0	Inf	0	0.049999999999999926
0	0.05	Inf	0	0.049999999999999926
0	0.1	Inf	0	0.049999999999999926
0	0.2	Inf	0	0.049999999999999926
0	0.4	Inf	0	0.049999999999999926
0	0.8	Inf	0	0.049999999999999926
0.01	0	Inf	0	0.048617246101459205
0.01	0.05	Inf	0	0.04850576451269741
0.01	0.1	Inf	0	0.049095019012316866
0.01	0.2	Inf	0	0.04921667810941854
0.01	0.4	Inf	0	0.04909254612327947
0.01	0.8	Inf	0	0.04939707359739215
0.02	0	Inf	0	0.04816380781198264
0.02	0.05	Inf	0	0.04840570189752092
0.02	0.1	Inf	0	0.047725445967444824
0.02	0.2	Inf	0	0.04894925849915687
0.02	0.4	Inf	0	0.04760837599803201
0.02	0.8	Inf	0	0.0476210848637319
0.03	0	Inf	0	0.0462126211339403
0.03	0.05	Inf	0	0.046711993691981014
0.03	0.1	Inf	0	0.04650621115064714
0.03	0.2	Inf	0	0.047274586121924915
0.03	0.4	Inf	0	0.04727730259696378
0.03	0.8	Inf	0	0.04765193786014901
0.04	0	Inf	0	0.047031620249691694
0.04	0.05	Inf	0	0.04610083060553499
0.04	0.1	Inf	0	0.04741112055267335
0.04	0.2	Inf	0	0.04687989173969777
0.04	0.4	Inf	0	0.04735606813286782
0.04	0.8	Inf	0	0.046634324616121416
0.05	0	Inf	0	0.04357845596697007
0.05	0.05	Inf	0	0.042878933810536805
0.05	0.1	Inf	0	0.04516462564228593
0.05	0.2	Inf	0	0.04690303432922404
0.05	0.4	Inf	0	0.046773133037964994
0.05	0.8	Inf	0	0.04610459001856744
0.06	0	Inf	0	0.04399028767977026
0.06	0.05	Inf	0	0.043701940425732666
0.06	0.1	Inf	0	0.04501234508035198
0.06	0.2	Inf	0	0.04515878908160884
0.06	0.4	Inf	0	0.045663728736585245
0.06	0.8	Inf	0	0.0459834247711646
0.07	0	Inf	0	0.042843402741743225
0.07	0.05	Inf	0	0.043579084010592774
0.07	0.1	Inf	0	0.04184474278802549
0.07	0.2	Inf	0	0.04188734542731887
0.07	0.4	Inf	0	0.04575249091547432
0.07	0.8	Inf	0	0.04481634155391181
0.08	0	Inf	0	0.04352786629192463
0.08	0.05	Inf	0	0.04072461694157083
0.08	0.1	Inf	0	0.04114210640308648
0.08	0.2	Inf	0	0.043656069391374924
0.08	0.4	Inf	0	0.041537281911723546
0.08	0.8	Inf	0	0.041377203119299905
0.09	0	Inf	0	0.04032625940473774
0.09	0.05	Inf	0	0.04226756480312382
0.09	0.1	Inf	0	0.04284877852502435
0.09	0.2	Inf	0	0.04148062369050664
0.09	0.4	Inf	0	0.041592833165551436
0.09	0.8	Inf	0	0.04283293808631306
0.1	0	Inf	0	0.04065538493571151
0.1	0.05	Inf	0	0.04242429521827261
0.1	0.1	Inf	0	0.04112368341709417
0.1	0.2	Inf	0	0.04339299030007694
0.1	0.4	Inf	0	0.04082515144920007
0.1	0.8	Inf	0	0.040384069071928506
0.11	0	Inf	0	0.03974890383540428
0.11	0.05	Inf	0	0.04001656912001544
0.11	0.1	Inf	0	0.03955209095737665
0.11	0.2	Inf	0	0.03870593233628793
0.11	0.4	Inf	0	0.04072658131069409
0.11	0.8	Inf	0	0.04368536805611264
0.12	0	Inf	0	0.040446330698429914
0.12	0.05	Inf	0	0.039605887254081124
0.12	0.1	Inf	0	0.04249414204690331
0.12	0.2	Inf	0	0.03961823545468992
0.12	0.4	Inf	0	0.03697448067222857
0.12	0.8	Inf	0	0.0390461812821402
0.13	0	Inf	0	0.03856864731533785
0.13	0.05	Inf	0	0.037204380918779444
0.13	0.1	Inf	0	0.04155590615920682
0.13	0.2	Inf	0	0.03864564120571016
0.13	0.4	Inf	0	0.04189658700618738
0.13	0.8	Inf	0	0.03591722202129263
0.14	0	Inf	0	0.03761596485966867
0.14	0.05	Inf	0	0.039222813498951514
0.14	0.1	Inf	0	0.04196492330919442
0.14	0.2	Inf	0	0.04153728513622784
0.14	0.4	Inf	0	0.03512892719170224
0.14	0.8	Inf	0	0.041826765585674504
0.15	0	Inf	0	0.033591780996717724
0.15	0.05	Inf	0	0.033580994377922904
0.15	0.1	Inf	0	0.035711688675055066
0.15	0.2	Inf	0	0.037337464750865856
0.15	0.4	Inf	0	0.03875823193394293
0.15	0.8	Inf	0	0.027562216088582017
0.16	0	Inf	0	0.035991224329592585
0.16	0.05	Inf	0	0.03149884296117507
0.16	0.1	Inf	0	0.03482732478560398
0.16	0.2	Inf	0	0.03552613396031321
0.16	0.4	Inf	0	0.03351786835666157
0.16	0.8	Inf	0	0.03725606488710734
0.17	0	Inf	0	0.02991232691321101
0.17	0.05	Inf	0	0.034068555994089166
0.17	0.1	Inf	0	0.03416885529938002
0.17	0.2	Inf	0	0.03594062955095609
0.17	0.4	Inf	0	0.03728363655785338
0.17	0.8	Inf	0	0.03698833583580937
0.18	0	Inf	0	0.03787509144165739
0.18	0.05	Inf	0	0.035948494546722366
0.18	0.1	Inf	0	0.0320526007931337
0.18	0.2	Inf	0	0.03399237022066339
0.18	0.4	Inf	0	0.032767498662684566
0.18	0.8	Inf	0	0.03411926287600559
0.19	0	Inf	0	0.0326266068005634
0.19	0.05	Inf	0	0.03374628645869234
0.19	0.1	Inf	0	0.035852294348598435
0.19	0.2	Inf	0	0.027252249688740342
0.19	0.4	Inf	0	0.03830442368819806
0.19	0.8	Inf	0	0.03890694800548696
0.2	0	Inf	0	0.035880425134298115
0.2	0.05	Inf	0	0.03675287414266027
0.2	0.1	Inf	0	0.026602279684427427
0.2	0.2	Inf	0	0.03354529640941368
0.2	0.4	Inf	0	0.03360022002244821
0.2	0.8	Inf	0	0.03701503578063318
0.21	0	Inf	0	0.03486218431521203
0.21	0.05	Inf	0	0.035049532690402375
0.21	0.1	Inf	0	0.035458409805419006
0.21	0.2	Inf	0	0.03029583723930364
0.21	0.4	Inf	0	0.02804591498659193
0.21	0.8	Inf	0	0.03435631086443713
0.22	0	Inf	0	0.03779996342638507
0.22	0.05	Inf	0	0.0329018858610313
0.22	0.1	Inf	0	0.030135347385430705
0.22	0.2	Inf	0	0.027042121610031188
0.22	0.4	Inf	0	0.03747904999666532
0.22	0.8	Inf	0	0.03234023349390581
0.23	0	Inf	0	0.028257902859969417
0.23	0.05	Inf	0	0.03200494405435136
0.23	0.1	Inf	0	0.02532139819447886
0.23	0.2	Inf	0	0.03789661930695583
0.23	0.4	Inf	0	0.031980413632103404
0.23	0.8	Inf	0	0.028306308034541258
0.24	0	Inf	0	0.03361611904699286
0.24	0.05	Inf	0	0.03316045511105528
0.24	0.1	Inf	0	0.03358037122821027
0.24	0.2	Inf	0	0.03114881319838306
0.24	0.4	Inf	0	0.024294741986418178
0.24	0.8	Inf	0	0.03635633092050362
0.25	0	Inf	0	0.03606317949035614
0.25	0.05	Inf	0	0.028316106521783263
0.25	0.1	Inf	0	0.025926315644933265
0.25	0.2	Inf	0	0.02758465456024948
0.25	0.4	Inf	0	0.023955986366580334
0.25	0.8	Inf	0	0.026411692052112686
0.26	0	Inf	0	0.03059771440933508
0.26	0.05	Inf	0	0.022775875061499938
0.26	0.1	Inf	0	0.025993798708841793
0.26	0.2	Inf	0	0.026396115995922904
0.26	0.4	Inf	0	0.026805364224825205
0.26	0.8	Inf	0	0.03232333306632212
0.27	0	Inf	0	0.02859938607663084
0.27	0.05	Inf	0	0.02607321604952907
