M_sigma	S	Q_alpha	motif_ratio_summary	motif_ratio
0	0	Inf	0	1
0	0.05	Inf	0	1
0	0.1	Inf	0	1
0	0.2	Inf	0	1
0	0.4	Inf	0	1
0	0.8	Inf	0	0.9999999999999999
0.01	0	Inf	0	1
0.01	0.05	Inf	0	0.9985306398984749
0.01	0.1	Inf	0	0.997949536516497
0.01	0.2	Inf	0	0.997585584259808
0.01	0.4	Inf	0	0.9939527265284211
0.01	0.8	Inf	0	0.9856661470031848
0.02	0	Inf	0	1
0.02	0.05	Inf	0	0.9984719719064391
0.02	0.1	Inf	0	0.9963519040468893
0.02	0.2	Inf	0	0.9951527623732436
0.02	0.4	Inf	0	0.9807209479372941
0.02	0.8	Inf	0	0.9694879635002108
0.03	0	Inf	0	1
0.03	0.05	Inf	0	0.9977037509748077
0.03	0.1	Inf	0	0.9957530422320948
0.03	0.2	Inf	0	0.987966012153448
0.03	0.4	Inf	0	0.9812474460392029
0.03	0.8	Inf	0	0.9698615326885675
0.04	0	Inf	0	1
0.04	0.05	Inf	0	0.9967417832929711
0.04	0.1	Inf	0	0.9959786716284436
0.04	0.2	Inf	0	0.9890803073151727
0.04	0.4	Inf	0	0.9799335709181531
0.04	0.8	Inf	0	0.9422978231358159
0.05	0	Inf	0	1
0.05	0.05	Inf	0	0.9949520365928601
0.05	0.1	Inf	0	0.9904545562518433
0.05	0.2	Inf	0	0.9775909483114262
0.05	0.4	Inf	0	0.9714760713164123
0.05	0.8	Inf	0	0.9366840200275975
0.06	0	Inf	0	1
0.06	0.05	Inf	0	0.9949224221432266
0.06	0.1	Inf	0	0.9880979981471628
0.06	0.2	Inf	0	0.9691018051707295
0.06	0.4	Inf	0	0.9575638793571087
0.06	0.8	Inf	0	0.9286298379376992
0.07	0	Inf	0	1
0.07	0.05	Inf	0	0.9956615319857285
0.07	0.1	Inf	0	0.986530745007544
0.07	0.2	Inf	0	0.9715765063391809
0.07	0.4	Inf	0	0.942388263645342
