init_cond	constr_cond	run_number	seq_length	mutation	mut_scaled	mutation_tot	mut_scaled_tot	mut_mean	esr_mean	A3SS_R1_mean	A3SS_R2_mean	A5SS_R1_mean	A5SS_R2_mean
random	neutral	0	999	0	0.0	0	0.0	0.007859701309976643	0.026309663571428575	-0.04928651013029052	-0.04616228333634138	0.2017556011370179	0.03146069212137492
random	neutral	0	999	199	0.199199199199	216	0.21621621621599998	0.006685145766433098	-0.006536082484909459	-8.995448963160316e-06	-0.10395347623572837	0.17911457865916727	0.047114020618157164
random	neutral	0	999	399	0.39939939939900004	437	0.437437437437	0.006077893336002668	-0.014361453551307848	0.002451521458108379	-0.14830932196869612	0.09088030859952292	0.05355699384900706
random	neutral	0	999	599	0.5995995996	654	0.654654654655	0.005581907409743076	-0.03916287059356136	0.05182260764108231	-0.1770821248421635	0.11784626742983607	0.059562680061606685
random	neutral	0	999	799	0.7997997998	880	0.880880880881	0.005719039857190523	-0.021385935603621727	0.07599382483547565	-0.14273977991787182	0.10467513682851198	0.058239813771667925
random	neutral	0	999	999	1.0	1095	1.0960960961	0.0055281116493159825	-0.030992202847082498	0.12114573430799089	-0.20642285004933084	0.10416973646476145	0.05605506889270176
random	neutral	0	999	1198	1.1991991992	1318	1.3193193193200001	0.005537119571237904	-0.03322652728370221	0.11296559422577145	-0.2237203519405518	0.04989738065454806	0.0597663196138719
random	neutral	0	999	1398	1.3993993994	1532	1.5335335335299998	0.004935117578578578	-0.06562138865191149	0.11309807588123878	-0.3065905364227643	-0.0015752014378696397	0.06681396630191393
random	neutral	0	999	1598	1.5995995996	1752	1.75375375375	0.005640299558224891	-0.021869511861167	0.12137392450714973	-0.22167172037284702	0.05928790110927117	0.07537746051484608
random	neutral	0	999	1798	1.7997997998	1965	1.96696696697	0.006199777354688022	-0.022280809205231386	0.09856322962003265	-0.2329192093119973	0.062266556829223114	0.06943940053374083
random	neutral	0	999	1998	2.0	2182	2.18418418418	0.005762983279946613	-0.019041211609657945	0.12580154086655293	-0.24427203681638182	0.03900548257986595	0.0793499566451931
random	neutral	0	999	2197	2.1991991991999997	2398	2.4004004004	0.005319102922589255	-0.06069975617706238	0.11773904239072314	-0.3189076249403624	-0.023739530779002493	0.07053603738369249
random	neutral	0	999	2397	2.3993993994	2618	2.62062062062	0.005582288377377378	-0.06295923680080483	0.14391729192275282	-0.32839680374807084	-0.029092786047136318	0.0799152297149454
random	neutral	0	999	2597	2.5995995996	2837	2.83983983984	0.005578152615949283	-0.054654258038229375	0.17681777419457687	-0.33240032487833093	-0.03500938262460238	0.08424479223993574
random	neutral	0	999	2797	2.7997997998	3048	3.0510510510500004	0.005052563659659659	-0.05595091167002012	0.1791663187607066	-0.32205732904025597	-0.036398911772034186	0.07551589889519428
random	neutral	0	999	2997	3.0	3263	3.26626626627	0.004434329920253587	-0.06429925808853118	0.1753277664922265	-0.31370974236654353	0.015190355653348286	0.0747328395119326
random	neutral	0	999	3196	3.1991991992	3484	3.48748748749	0.005026147244911578	-0.06897614862173038	0.15354724095260058	-0.3227515307742916	-0.004500652809425885	0.06811520272891451
random	neutral	0	999	3396	3.3993993994	3703	3.70670670671	0.004541718076409743	-0.060783267444668006	0.1843843591793323	-0.31451611010315195	0.004227407918941191	0.07178523859107473
random	neutral	0	999	3596	3.5995995996	3921	3.92492492492	0.005028939074741408	-0.06617764159959759	0.24463292981765586	-0.3547187090878189	-0.016424129512103498	0.08123773724897118
random	neutral	0	999	3796	3.7997997998	4138	4.14214214214	0.004903693491491491	-0.09139135615694165	0.22422792265978686	-0.37320052805456855	-0.037644132495922265	0.0836946190774345
random	neutral	0	999	3996	4.0	4363	4.36736736737	0.005443027710043377	-0.05730164525150906	0.17538915341809458	-0.3364671738805246	0.014599455659408482	0.07804391361277725
random	neutral	0	999	4195	4.1991991992	4586	4.59059059059	0.005501506017017017	-0.07989376984909456	0.15193732275148486	-0.37617542810890453	-0.038577138999016124	0.06487544832370903
random	neutral	0	999	4395	4.3993993994	4804	4.808808808809999	0.0053199188074741395	-0.06343425615694165	0.14952705681754222	-0.33908755144831476	0.0046969020516082404	0.06622374830948209
random	neutral	0	999	4595	4.599599599599999	5024	5.02902902903	0.004945804940273606	-0.08611396559356135	0.1541030798104556	-0.37348502968668196	-0.016953804459764403	0.06921068700042962
random	neutral	0	999	4795	4.799799799800001	5237	5.242242242240001	0.005036850155155155	-0.07053289691146881	0.13571852794042802	-0.32727438482734017	-0.013526496783330823	0.06734092727057539
random	neutral	0	999	4995	5.0	5464	5.46946946947	0.004829463935268601	-0.09504108756539237	0.18657476827162167	-0.4067010006026204	-0.08902728349514948	0.08409811859629192
random	neutral	0	999	5194	5.1991991992	5684	5.68968968969	0.0052222647484150815	-0.08098393258551308	0.16071437467803085	-0.3530866222239383	-0.02877481332637163	0.07478077661469798
random	neutral	0	999	5394	5.399399399400001	5915	5.92092092092	0.005067683405739072	-0.07600677570422537	0.16499252699064737	-0.3540255777443416	0.0071089795178720895	0.08749824012290511
random	neutral	0	999	5594	5.5995995996	6135	6.141141141139999	0.005171079568234901	-0.08126650701207244	0.12593462762834665	-0.3634183805746895	0.009184170341603699	0.07148960194197879
random	neutral	0	999	5794	5.799799799800001	6358	6.36436436436	0.004770619575241908	-0.10211696471830986	0.1633571361277775	-0.3984422851991394	0.028855708606752874	0.08477758441997495
